Time,Channel A
(s),(mV)

0.27422800,5.06274600
0.27499400,4.95201700
0.27576000,4.83513700
0.27652600,4.73056000
0.27729200,4.63828700
0.27805800,4.55216500
0.27882400,4.46604300
0.27959000,4.39222400
0.28035600,4.31225400
0.28112200,4.23228400
0.28188800,4.14616100
0.28265400,4.05388800
0.28342000,3.96776600
0.28418600,3.88779500
0.28495200,3.82627900
0.28571800,3.77706700
0.28648400,3.72785400
0.28725000,3.68479300
0.28801600,3.65403500
0.28878200,3.63558100
0.28954800,3.60482300
0.29031400,3.56791300
0.29108000,3.54330700
0.29184600,3.51254900
0.29261200,3.48179100
0.29337800,3.46333600
0.29414400,3.45103300
0.29491000,3.43257800
0.29567600,3.42027500
0.29644200,3.39566900
0.29720800,3.36491100
0.29797400,3.32185000
0.29874000,3.27263800
0.29950600,3.21112200
0.30027200,3.14960600
0.30103800,3.08809000
0.30180400,3.03887800
0.30257000,2.98966500
0.30333600,2.95275600
0.30410200,2.91584600
0.30486800,2.87893700
0.30563400,2.84817900
0.30640000,2.79896600
0.30716600,2.74360200
0.30793200,2.70054100
0.30869800,2.65132900
0.30946400,2.60826800
0.31023000,2.57135800
0.31099600,2.55290300
0.31176200,2.52214600
0.31252800,2.49138800
0.31329400,2.45447800
0.31406000,2.41141700
0.31482600,2.34990100
0.31559200,2.27608300
0.31635800,2.19611200
0.31712400,2.09768700
0.31789000,2.01156500
0.31865600,1.93774600
0.31942200,1.87007900
0.32018800,1.78395700
0.32095401,1.69783400
0.32172001,1.58710600
0.32248601,1.47022600
0.32325201,1.33489200
0.32401801,1.19955700
0.32478401,1.07037400
0.32555001,0.92273620
0.32631601,0.75664370
0.32708201,0.60900590
0.32784801,0.46751960
0.32861401,0.31988190
0.32938001,0.17224410
0.33014601,0.03075787
0.33091201,-0.12918310
0.33167801,-0.29527560
0.33244401,-0.46136810
0.33321001,-0.62130900
0.33397601,-0.78124990
0.33474201,-0.92888770
0.33550801,-1.04576800
0.33627401,-1.15034400
0.33704001,-1.24877000
0.33780601,-1.34104300
0.33857201,-1.43946800
0.33933801,-1.55019700
0.34010401,-1.66092500
0.34087001,-1.77780500
0.34163601,-1.90083600
0.34240201,-2.03617100
0.34316801,-2.15305100
0.34393401,-2.25762800
0.34470001,-2.34990100
0.34546601,-2.42987200
0.34623201,-2.52214600
0.34699801,-2.62672200
0.34776401,-2.76205700
0.34853001,-2.90354300
0.34929601,-3.07578700
0.35006201,-3.26033400
0.35082801,-3.45718500
0.35159401,-3.64788400
0.35236001,-3.82627900
0.35312601,-3.99237200
0.35389201,-4.15231300
0.35465801,-4.32455700
0.35542401,-4.50910400
0.35619001,-4.71825800
0.35695601,-4.93971400
0.35772201,-5.17347400
0.35848801,-5.40723400
0.35925401,-5.62869100
0.36002001,-5.83784400
0.36078601,-6.03469500
0.36155201,-6.22539300
0.36231801,-6.40378900
0.36308401,-6.58833600
0.36385001,-6.76673200
0.36461601,-6.95743000
0.36538201,-7.13582600
0.36614801,-7.33882900
0.36691401,-7.53567900
0.36768001,-7.72022600
0.36844601,-7.88016700
0.36921201,-8.03395600
0.36997801,-8.16313900
0.37074401,-8.29232200
0.37151001,-8.43380800
0.37227601,-8.56914300
0.37304201,-8.71062900
0.37380801,-8.85211600
0.37457401,-9.01205700
0.37534001,-9.16584600
0.37610601,-9.31963500
0.37687201,-9.45496900
0.37763801,-9.57185000
0.37840401,-9.65797200
0.37917001,-9.74409400
0.37993601,-9.83636800
0.38070201,-9.91633800
0.38146801,-10.00861000
0.38223401,-10.10089000
0.38300001,-10.19316000
0.38376601,-10.27928000
0.38453201,-10.37155000
0.38529801,-10.43922000
0.38606401,-10.49459000
0.38683001,-10.53150000
0.38759601,-10.56841000
0.38836201,-10.61147000
0.38912801,-10.66068000
0.38989401,-10.73450000
0.39066001,-10.80832000
0.39142601,-10.87598000
0.39219201,-10.96211000
0.39295801,-11.04208000
0.39372401,-11.11590000
0.39449001,-11.18356000
0.39525601,-11.25123000
0.39602201,-11.30659000
0.39678801,-11.36196000
0.39755401,-11.41732000
0.39832001,-11.48499000
0.39908601,-11.55881000
0.39985201,-11.63878000
0.40061801,-11.72490000
0.40138401,-11.80487000
0.40215001,-11.89099000
0.40291601,-11.97096000
0.40368201,-12.04478000
0.40444801,-12.12475000
0.40521401,-12.22318000
0.40598001,-12.32160000
0.40674601,-12.43848000
0.40751201,-12.57382000
0.40827801,-12.70300000
0.40904401,-12.84449000
0.40981001,-12.97367000
0.41057601,-13.09670000
0.41134201,-13.23204000
0.41210801,-13.36122000
0.41287401,-13.49655000
0.41364001,-13.62574000
0.41440601,-13.76722000
0.41517201,-13.91486000
0.41593801,-14.06865000
0.41670401,-14.22244000
0.41747001,-14.38238000
0.41823601,-14.53617000
0.41900201,-14.67766000
0.41976801,-14.80684000
0.42053401,-14.94217000
0.42130001,-15.06521000
0.42206601,-15.19439000
0.42283201,-15.33587000
0.42359801,-15.48351000
0.42436401,-15.61885000
0.42513001,-15.76033000
0.42589601,-15.89567000
0.42666201,-16.03100000
0.42742801,-16.16634000
0.42819401,-16.28322000
0.42896001,-16.38779000
0.42972601,-16.48622000
0.43049201,-16.57849000
0.43125801,-16.68922000
0.43202401,-16.80610000
0.43279001,-16.92913000
0.43355601,-17.05217000
0.43432201,-17.16289000
0.43508801,-17.24902000
0.43585401,-17.33514000
0.43662001,-17.40280000
0.43738601,-17.46432000
0.43815201,-17.53814000
0.43891801,-17.61196000
0.43968401,-17.70423000
0.44045001,-17.80266000
0.44121601,-17.89493000
0.44198201,-17.98105000
0.44274801,-18.06102000
0.44351401,-18.10408000
0.44428001,-18.12869000
