Time,Channel A
(s),(mV)

0.26120600,-8.94438800
0.26197200,-8.92593500
0.26273800,-8.88594900
0.26350400,-8.81520600
0.26427000,-8.71370500
0.26503600,-8.59990100
0.26580200,-8.51377900
0.26656800,-8.44303500
0.26733400,-8.40305000
0.26810000,-8.36306600
0.26886600,-8.32923100
0.26963200,-8.31385200
0.27039800,-8.29847400
0.27116400,-8.24003400
0.27193000,-8.14776000
0.27269600,-8.02472900
0.27346200,-7.90477300
0.27422800,-7.79096900
0.27499400,-7.70792300
0.27576000,-7.65871000
0.27652600,-7.58489100
0.27729200,-7.49876900
0.27805800,-7.43110200
0.27882400,-7.37881300
0.27959000,-7.36651000
0.28035600,-7.37881300
0.28112200,-7.41879900
0.28188800,-7.50492100
0.28265400,-7.61564900
0.28342000,-7.76328700
0.28418600,-7.93553100
0.28495200,-8.15391300
0.28571800,-8.37844500
0.28648400,-8.62450800
0.28725000,-8.87057000
0.28801600,-9.10433000
0.28878200,-9.31963500
0.28954800,-9.52571300
0.29031400,-9.68872900
0.29108000,-9.78715500
0.29184600,-9.87020100
0.29261200,-9.95017100
0.29337800,-9.98708100
0.29414400,-10.02707000
0.29491000,-10.03937000
0.29567600,-10.00246000
0.29644200,-9.91633800
0.29720800,-9.78408000
0.29797400,-9.64874500
0.29874000,-9.52263600
0.29950600,-9.38422700
0.30027200,-9.24889200
0.30103800,-9.12586100
0.30180400,-9.03666200
0.30257000,-8.95054100
0.30333600,-8.86441900
0.30410200,-8.76291800
0.30486800,-8.64603800
0.30563400,-8.52915800
0.30640000,-8.38152000
0.30716600,-8.17544300
0.30793200,-7.93860700
0.30869800,-7.69254400
0.30946400,-7.44032900
0.31023000,-7.19734200
0.31099600,-6.94512700
0.31176200,-6.68983700
0.31252800,-6.42531900
0.31329400,-6.15772600
0.31406000,-5.89628400
0.31482600,-5.66867500
0.31559200,-5.49950700
0.31635800,-5.40108300
0.31712400,-5.32418800
0.31789000,-5.27497500
0.31865600,-5.21345900
0.31942200,-5.14271600
0.32018800,-5.05659400
0.32095401,-4.98277500
0.32172001,-4.92741100
0.32248601,-4.87512300
0.32325201,-4.79515200
0.32401801,-4.67519700
0.32478401,-4.57984700
0.32555001,-4.52448300
0.32631601,-4.51218000
0.32708201,-4.51833100
0.32784801,-4.51833100
0.32861401,-4.47219400
0.32938001,-4.35531500
0.33014601,-4.16769200
0.33091201,-3.94623500
0.33167801,-3.69094500
0.33244401,-3.41412400
0.33321001,-3.11269700
0.33397601,-2.81434500
0.33474201,-2.55290300
0.33550801,-2.30991600
0.33627401,-2.10999000
0.33704001,-1.93159400
0.33780601,-1.71321400
0.33857201,-1.47637800
0.33933801,-1.23954200
0.34010401,-0.99655500
0.34087001,-0.76279520
0.34163601,-0.55056590
0.34240201,-0.36294290
0.34316801,-0.17224410
0.34393401,0.01845472
0.34470001,0.19992620
0.34546601,0.38139760
0.34623201,0.55979330
0.34699801,0.71050680
0.34776401,0.82738670
0.34853001,0.91350880
0.34929601,0.98732770
0.35006201,1.03038900
0.35082801,1.05191900
0.35159401,1.07345000
0.35236001,1.10113200
0.35312601,1.14726900
0.35389201,1.21493600
0.35465801,1.28260300
0.35542401,1.35027100
0.35619001,1.38718000
0.35695601,1.37795300
0.35772201,1.31643700
0.35848801,1.25184500
0.35925401,1.16879900
0.36002001,1.08575300
0.36078601,1.03038900
0.36155201,1.00885800
0.36231801,0.96887300
0.36308401,0.95349410
0.36385001,0.99655500
0.36461601,1.08575300
0.36538201,1.20878400
0.36614801,1.34719500
0.36691401,1.45484700
0.36768001,1.54404500
0.36844601,1.60863700
0.36921201,1.66707700
0.36997801,1.74397100
0.37074401,1.86700300
0.37151001,1.98080700
0.37227601,2.11306600
0.37304201,2.26377900
0.37380801,2.41756900
0.37457401,2.54982800
0.37534001,2.64825300
0.37610601,2.72822300
0.37687201,2.79589100
0.37763801,2.84510300
0.37840401,2.90661900
0.37917001,2.94352800
0.37993601,2.93122500
0.38070201,2.89739200
0.38146801,2.82357300
0.38223401,2.72822300
0.38300001,2.63287400
0.38376601,2.52214600
0.38453201,2.41449300
0.38529801,2.31299200
0.38606401,2.23302100
0.38683001,2.18688500
0.38759601,2.20533900
0.38836201,2.24532500
0.38912801,2.24532500
0.38989401,2.21764300
0.39066001,2.16227800
0.39142601,2.09153500
0.39219201,2.04539800
0.39295801,2.00541300
0.39372401,1.95312500
0.39449001,1.91621500
0.39525601,1.91929100
0.39602201,1.92236700
0.39678801,1.92236700
0.39755401,1.93159400
0.39832001,1.94082200
0.39908601,1.96850400
0.39985201,1.97773100
0.40061801,1.95620100
0.40138401,1.87930600
0.40215001,1.77472900
0.40291601,1.70398600
0.40368201,1.68245600
0.40444801,1.69475900
0.40521401,1.72244100
0.40598001,1.71321400
0.40674601,1.67322800
0.40751201,1.60863700
0.40827801,1.51636300
0.40904401,1.40563500
0.40981001,1.26107300
0.41057601,1.07652500
0.41134201,0.87659940
0.41210801,0.67974900
0.41287401,0.51365640
0.41364001,0.37524600
0.41440601,0.26759350
0.41517201,0.17224410
0.41593801,0.07997046
0.41670401,0.00615157
0.41747001,-0.03998523
0.41823601,-0.09227362
0.41900201,-0.16301670
0.41976801,-0.22453250
0.42053401,-0.24913880
0.42130001,-0.22760820
0.42206601,-0.19069880
0.42283201,-0.17224410
0.42359801,-0.22760820
0.42436401,-0.36601870
0.42513001,-0.55056590
0.42589601,-0.77509840
0.42666201,-1.01808600
0.42742801,-1.24261800
0.42819401,-1.47330200
0.42896001,-1.67322800
0.42972601,-1.83316900
0.43049201,-1.97465500
0.43125801,-2.10383800
0.43202401,-2.22071800
0.43279001,-2.30684000
0.43355601,-2.38373500
0.43432201,-2.46063000
0.43508801,-2.56520700
0.43585401,-2.70976900
0.43662001,-2.87893700
0.43738601,-3.03580200
0.43815201,-3.20189500
0.43891801,-3.35260800
0.43968401,-3.49409400
0.44045001,-3.62020200
0.44121601,-3.72477800
0.44198201,-3.79859700
0.44274801,-3.86318900
0.44351401,-3.91240100
0.44428001,-3.93700800
0.44504601,-3.93700800
0.44581201,-3.93393200
0.44657801,-3.93085600
0.44734401,-3.94315900
0.44811001,-3.95853800
0.44887601,-3.93085600
0.44964201,-3.88471900
0.45040801,-3.85396100
0.45117401,-3.82012800
0.45194001,-3.80782500
0.45270601,-3.81705200
0.45347201,-3.85396100
0.45423801,-3.88164400
0.45500401,-3.90317400
0.45577001,-3.94008300
0.45653601,-3.98314500
0.45730201,-4.02620600
0.45806801,-4.06926700
0.45883401,-4.13693400
0.45960001,-4.22305600
0.46036601,-4.32763300
0.46113201,-4.43836100
0.46189801,-4.53986200
0.46266401,-4.62598400
0.46343001,-4.70595500
0.46419601,-4.80130400
0.46496201,-4.88742600
0.46572801,-4.98277500
0.46649401,-5.09042800
0.46726001,-5.19500400
0.46802601,-5.31188400
0.46879201,-5.45952300
0.46955801,-5.64714500
0.47032401,-5.85322300
0.47109001,-6.04699800
0.47185601,-6.24077200
0.47262201,-6.46222900
0.47338801,-6.70521600
0.47415401,-6.95127900
0.47492001,-7.19734200
0.47568601,-7.40957100
0.47645201,-7.59719500
0.47721801,-7.76328700
0.47798401,-7.89862200
0.47875001,-8.00012300
0.47951601,-8.05856200
0.48028201,-8.09854800
0.48104801,-8.11085000
0.48181401,-8.12007800
0.48258001,-8.10469900
0.48334601,-8.07394100
0.48411201,-8.04010800
0.48487801,-8.02165300
0.48564401,-8.02472900
0.48641001,-8.06779000
0.48717601,-8.12930600
0.48794201,-8.19082200
0.48870801,-8.22773100
0.48947401,-8.26156400
0.49024001,-8.28001900
0.49100601,-8.32000400
0.49177201,-8.37229300
0.49253801,-8.44303500
0.49330401,-8.51377900
0.49407001,-8.56299200
0.49483601,-8.61835600
0.49560201,-8.69217500
